cliente_id,health_score,riesgo_churn_pct,customer_lifetime_value_estimado,fecha_ultima_prediccion,variables_mas_influyentes,motivo_principal_riesgo,explicacion_ia,accion_recomendada,nivel_riesgo
148,99,7.5,1560.68,2026-07-12,Sin renovación automática; Competidor cercano recién abierto; Cambio reciente de entrenador,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Push notification con novedades del centro,bajo
149,84,28.0,70.42,2026-07-12,Cancelaciones de clases frecuentes; Sin renovación automática; Sin interacción con la app; Impagos recurrentes,Alta distancia al gimnasio,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: alta distancia al gimnasio.,Email de fidelización estándar,bajo
150,60,38.9,1510.08,2026-07-12,Precio elevado respecto al uso; Baja frecuencia de visitas; Alta distancia al gimnasio,Impagos recurrentes,El cliente muestra indicios de desenganche: impagos recurrentes. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
151,57,35.8,737.97,2026-07-12,Baja frecuencia de visitas; Precio elevado respecto al uso,Cancelaciones de clases frecuentes,El cliente muestra indicios de desenganche: cancelaciones de clases frecuentes. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
152,71,15.0,764.08,2026-07-12,Cambio reciente de entrenador; Baja satisfacción (NPS < 5),Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Enviar encuesta de satisfacción,bajo
153,77,24.1,678.02,2026-07-12,Sin interacción con la app; Baja satisfacción (NPS < 5); Impagos recurrentes,Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Push notification con novedades del centro,bajo
154,78,17.3,816.0,2026-07-12,Sin interacción con la app; Competidor cercano recién abierto,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Email de fidelización estándar,bajo
155,100,7.8,1521.91,2026-07-12,Alta distancia al gimnasio; Baja frecuencia de visitas; Cambio reciente de entrenador; Sin interacción con la app,Competidor cercano recién abierto,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: competidor cercano recién abierto.,Email de fidelización estándar,bajo
156,33,69.2,37.04,2026-07-12,Precio elevado respecto al uso; Cambio reciente de entrenador,Impagos recurrentes,El cliente presenta señales críticas: impagos recurrentes. Tendencia de actividad decreciente. Intervención inmediata recomendada.,Llamada urgente del comercial,alto
157,88,21.7,1482.12,2026-07-12,Alta distancia al gimnasio; Impagos recurrentes; Baja satisfacción (NPS < 5),Baja satisfacción (NPS < 5),El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja satisfacción (nps < 5).,Email de fidelización estándar,bajo
158,46,51.3,763.99,2026-07-12,Cambio reciente de entrenador; Competidor cercano recién abierto; Alta distancia al gimnasio,Baja satisfacción (NPS < 5),El cliente muestra indicios de desenganche: baja satisfacción (nps < 5). Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
159,70,25.0,1070.66,2026-07-12,Cambio reciente de entrenador; Baja satisfacción (NPS < 5); Cancelaciones de clases frecuentes,Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Push notification con novedades del centro,bajo
160,55,40.0,463.26,2026-07-12,Impagos recurrentes; Baja satisfacción (NPS < 5); Precio elevado respecto al uso,Baja frecuencia de visitas,El cliente muestra indicios de desenganche: baja frecuencia de visitas. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
161,61,48.2,3469.02,2026-07-12,Competidor cercano recién abierto; Precio elevado respecto al uso,Sin renovación automática,El cliente muestra indicios de desenganche: sin renovación automática. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
162,68,35.3,68.97,2026-07-12,Sin renovación automática; Impagos recurrentes,Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
163,57,41.3,2120.3,2026-07-12,Sin interacción con la app; Competidor cercano recién abierto,Baja frecuencia de visitas,El cliente muestra indicios de desenganche: baja frecuencia de visitas. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
164,50,46.8,105.84,2026-07-12,Cambio reciente de entrenador; Precio elevado respecto al uso,Alta distancia al gimnasio,El cliente muestra indicios de desenganche: alta distancia al gimnasio. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
165,53,48.7,1073.52,2026-07-12,Cambio reciente de entrenador; Baja frecuencia de visitas; Impagos recurrentes,Alta distancia al gimnasio,El cliente muestra indicios de desenganche: alta distancia al gimnasio. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
166,87,8.5,915.45,2026-07-12,Precio elevado respecto al uso; Alta distancia al gimnasio; Impagos recurrentes,Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Enviar encuesta de satisfacción,bajo
167,78,19.3,1581.52,2026-07-12,Sin renovación automática; Cancelaciones de clases frecuentes; Competidor cercano recién abierto; Impagos recurrentes,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Email de fidelización estándar,bajo
168,22,81.6,45.68,2026-07-12,Sin interacción con la app; Competidor cercano recién abierto,Alta distancia al gimnasio,El cliente presenta señales críticas: alta distancia al gimnasio. Tendencia de actividad decreciente. Intervención inmediata recomendada.,Aplicar descuento personalizado del 20%,alto
169,95,5.6,1766.88,2026-07-12,Cambio reciente de entrenador; Competidor cercano recién abierto,Alta distancia al gimnasio,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: alta distancia al gimnasio.,Push notification con novedades del centro,bajo
170,79,20.8,4131.05,2026-07-12,Impagos recurrentes; Cambio reciente de entrenador; Alta distancia al gimnasio; Baja satisfacción (NPS < 5),Impagos recurrentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: impagos recurrentes.,Enviar encuesta de satisfacción,bajo
171,59,31.8,1390.23,2026-07-12,Baja frecuencia de visitas; Baja satisfacción (NPS < 5); Sin renovación automática; Alta distancia al gimnasio,Precio elevado respecto al uso,El cliente muestra indicios de desenganche: precio elevado respecto al uso. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
172,64,35.8,76.74,2026-07-12,Baja satisfacción (NPS < 5); Alta distancia al gimnasio; Baja frecuencia de visitas; Competidor cercano recién abierto,Impagos recurrentes,El cliente muestra indicios de desenganche: impagos recurrentes. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
173,50,55.6,487.9,2026-07-12,Baja satisfacción (NPS < 5); Alta distancia al gimnasio,Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
174,60,39.7,2355.21,2026-07-12,Cambio reciente de entrenador; Alta distancia al gimnasio; Baja frecuencia de visitas,Cancelaciones de clases frecuentes,El cliente muestra indicios de desenganche: cancelaciones de clases frecuentes. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
175,44,58.4,133.06,2026-07-12,Alta distancia al gimnasio; Cambio reciente de entrenador; Cancelaciones de clases frecuentes; Sin renovación automática,Baja satisfacción (NPS < 5),El cliente muestra indicios de desenganche: baja satisfacción (nps < 5). Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
176,86,19.2,2170.4,2026-07-12,Impagos recurrentes; Competidor cercano recién abierto,Precio elevado respecto al uso,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: precio elevado respecto al uso.,Enviar encuesta de satisfacción,bajo
177,100,3.7,2820.48,2026-07-12,Sin renovación automática; Cancelaciones de clases frecuentes; Sin interacción con la app,Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Enviar encuesta de satisfacción,bajo
178,43,49.2,1389.97,2026-07-12,Baja frecuencia de visitas; Competidor cercano recién abierto; Alta distancia al gimnasio,Baja frecuencia de visitas,El cliente muestra indicios de desenganche: baja frecuencia de visitas. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
179,78,25.3,122.64,2026-07-12,Baja frecuencia de visitas; Cambio reciente de entrenador,Impagos recurrentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: impagos recurrentes.,Enviar encuesta de satisfacción,bajo
180,72,14.8,1275.6,2026-07-12,Impagos recurrentes; Sin renovación automática; Cambio reciente de entrenador,Cambio reciente de entrenador,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cambio reciente de entrenador.,Push notification con novedades del centro,bajo
181,37,58.7,2239.8,2026-07-12,Cancelaciones de clases frecuentes; Sin interacción con la app; Competidor cercano recién abierto,Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
182,82,16.9,658.28,2026-07-12,Baja frecuencia de visitas; Sin interacción con la app; Sin renovación automática,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Enviar encuesta de satisfacción,bajo
183,74,23.4,1592.7,2026-07-12,Impagos recurrentes; Cancelaciones de clases frecuentes; Cambio reciente de entrenador; Baja frecuencia de visitas,Cambio reciente de entrenador,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cambio reciente de entrenador.,Enviar encuesta de satisfacción,bajo
184,65,33.5,1246.68,2026-07-12,Baja satisfacción (NPS < 5); Cancelaciones de clases frecuentes; Baja frecuencia de visitas; Impagos recurrentes,Cambio reciente de entrenador,El cliente muestra indicios de desenganche: cambio reciente de entrenador. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
185,61,31.2,694.3,2026-07-12,Precio elevado respecto al uso; Baja frecuencia de visitas; Baja satisfacción (NPS < 5); Sin renovación automática,Cancelaciones de clases frecuentes,El cliente muestra indicios de desenganche: cancelaciones de clases frecuentes. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
186,72,24.6,993.54,2026-07-12,Alta distancia al gimnasio; Baja satisfacción (NPS < 5); Sin interacción con la app,Alta distancia al gimnasio,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: alta distancia al gimnasio.,Push notification con novedades del centro,bajo
187,56,49.2,137.15,2026-07-12,Baja frecuencia de visitas; Sin renovación automática,Competidor cercano recién abierto,El cliente muestra indicios de desenganche: competidor cercano recién abierto. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
188,89,16.7,599.64,2026-07-12,Competidor cercano recién abierto; Baja frecuencia de visitas,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Push notification con novedades del centro,bajo
189,48,55.8,890.16,2026-07-12,Baja frecuencia de visitas; Cancelaciones de clases frecuentes; Baja satisfacción (NPS < 5),Impagos recurrentes,El cliente muestra indicios de desenganche: impagos recurrentes. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
190,37,67.3,371.75,2026-07-12,Competidor cercano recién abierto; Impagos recurrentes; Baja satisfacción (NPS < 5); Precio elevado respecto al uso,Sin renovación automática,El cliente presenta señales críticas: sin renovación automática. Tendencia de actividad decreciente. Intervención inmediata recomendada.,Ofrecer congelación temporal de cuota,alto
191,63,33.4,3195.36,2026-07-12,Baja frecuencia de visitas; Precio elevado respecto al uso; Competidor cercano recién abierto; Cancelaciones de clases frecuentes,Sin interacción con la app,El cliente muestra indicios de desenganche: sin interacción con la app. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
192,54,35.7,643.79,2026-07-12,Alta distancia al gimnasio; Baja frecuencia de visitas; Impagos recurrentes,Cambio reciente de entrenador,El cliente muestra indicios de desenganche: cambio reciente de entrenador. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
193,78,15.3,1461.0,2026-07-12,Baja satisfacción (NPS < 5); Sin interacción con la app,Precio elevado respecto al uso,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: precio elevado respecto al uso.,Push notification con novedades del centro,bajo
194,20,75.8,576.96,2026-07-12,Baja frecuencia de visitas; Sin interacción con la app; Sin renovación automática; Competidor cercano recién abierto,Competidor cercano recién abierto,El cliente presenta señales críticas: competidor cercano recién abierto. Tendencia de actividad decreciente. Intervención inmediata recomendada.,Llamada urgente del comercial,alto
195,79,16.6,669.84,2026-07-12,Sin interacción con la app; Impagos recurrentes; Sin renovación automática; Competidor cercano recién abierto,Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Email de fidelización estándar,bajo
196,58,33.1,690.84,2026-07-12,Competidor cercano recién abierto; Alta distancia al gimnasio; Baja frecuencia de visitas; Sin renovación automática,Cambio reciente de entrenador,El cliente muestra indicios de desenganche: cambio reciente de entrenador. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
197,36,65.2,643.86,2026-07-12,Baja satisfacción (NPS < 5); Competidor cercano recién abierto; Precio elevado respecto al uso,Cancelaciones de clases frecuentes,El cliente presenta señales críticas: cancelaciones de clases frecuentes. Tendencia de actividad decreciente. Intervención inmediata recomendada.,Aplicar descuento personalizado del 20%,alto
198,89,18.5,758.16,2026-07-12,Alta distancia al gimnasio; Baja satisfacción (NPS < 5),Precio elevado respecto al uso,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: precio elevado respecto al uso.,Enviar encuesta de satisfacción,bajo
199,71,29.5,805.09,2026-07-12,Alta distancia al gimnasio; Sin renovación automática; Baja frecuencia de visitas; Cancelaciones de clases frecuentes,Precio elevado respecto al uso,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: precio elevado respecto al uso.,Enviar encuesta de satisfacción,bajo
200,79,16.8,95.58,2026-07-12,Competidor cercano recién abierto; Cambio reciente de entrenador; Sin renovación automática,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Push notification con novedades del centro,bajo
201,58,48.9,601.92,2026-07-12,Competidor cercano recién abierto; Alta distancia al gimnasio,Impagos recurrentes,El cliente muestra indicios de desenganche: impagos recurrentes. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
202,48,53.7,62.09,2026-07-12,Competidor cercano recién abierto; Baja frecuencia de visitas; Sin renovación automática,Impagos recurrentes,El cliente muestra indicios de desenganche: impagos recurrentes. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
203,86,13.9,1729.35,2026-07-12,Competidor cercano recién abierto; Baja frecuencia de visitas; Baja satisfacción (NPS < 5); Precio elevado respecto al uso,Impagos recurrentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: impagos recurrentes.,Email de fidelización estándar,bajo
204,100,6.2,72.39,2026-07-12,Baja frecuencia de visitas; Competidor cercano recién abierto,Competidor cercano recién abierto,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: competidor cercano recién abierto.,Email de fidelización estándar,bajo
205,100,2.2,346.2,2026-07-12,Cambio reciente de entrenador; Baja frecuencia de visitas; Cancelaciones de clases frecuentes; Sin interacción con la app,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Push notification con novedades del centro,bajo
206,71,20.3,514.25,2026-07-12,Baja satisfacción (NPS < 5); Cambio reciente de entrenador; Alta distancia al gimnasio; Sin interacción con la app,Competidor cercano recién abierto,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: competidor cercano recién abierto.,Enviar encuesta de satisfacción,bajo
207,63,29.7,115.83,2026-07-12,Impagos recurrentes; Baja satisfacción (NPS < 5),Competidor cercano recién abierto,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: competidor cercano recién abierto.,Push notification con novedades del centro,bajo
208,32,65.0,34.09,2026-07-12,Precio elevado respecto al uso; Sin renovación automática; Baja satisfacción (NPS < 5),Competidor cercano recién abierto,El cliente presenta señales críticas: competidor cercano recién abierto. Tendencia de actividad decreciente. Intervención inmediata recomendada.,Llamada urgente del comercial,alto
209,67,36.3,1071.0,2026-07-12,Impagos recurrentes; Sin renovación automática; Sin interacción con la app; Cancelaciones de clases frecuentes,Baja satisfacción (NPS < 5),El cliente muestra indicios de desenganche: baja satisfacción (nps < 5). Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
210,67,33.0,550.48,2026-07-12,Competidor cercano recién abierto; Baja frecuencia de visitas; Cambio reciente de entrenador,Precio elevado respecto al uso,El cliente muestra indicios de desenganche: precio elevado respecto al uso. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
211,48,48.3,695.2,2026-07-12,Alta distancia al gimnasio; Sin renovación automática,Sin interacción con la app,El cliente muestra indicios de desenganche: sin interacción con la app. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
212,62,38.2,1920.24,2026-07-12,Competidor cercano recién abierto; Baja frecuencia de visitas; Cancelaciones de clases frecuentes; Precio elevado respecto al uso,Cancelaciones de clases frecuentes,El cliente muestra indicios de desenganche: cancelaciones de clases frecuentes. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
213,81,23.1,1119.14,2026-07-12,Competidor cercano recién abierto; Cambio reciente de entrenador,Sin interacción con la app,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin interacción con la app.,Enviar encuesta de satisfacción,bajo
214,97,11.2,990.3,2026-07-12,Sin renovación automática; Cambio reciente de entrenador; Competidor cercano recién abierto,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Email de fidelización estándar,bajo
215,49,49.0,442.96,2026-07-12,Alta distancia al gimnasio; Baja frecuencia de visitas; Cancelaciones de clases frecuentes,Alta distancia al gimnasio,El cliente muestra indicios de desenganche: alta distancia al gimnasio. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
216,56,36.4,749.25,2026-07-12,Baja frecuencia de visitas; Impagos recurrentes,Cancelaciones de clases frecuentes,El cliente muestra indicios de desenganche: cancelaciones de clases frecuentes. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
217,80,9.6,3602.88,2026-07-12,Competidor cercano recién abierto; Baja satisfacción (NPS < 5),Cambio reciente de entrenador,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cambio reciente de entrenador.,Email de fidelización estándar,bajo
218,67,34.6,86.98,2026-07-12,Precio elevado respecto al uso; Sin interacción con la app; Alta distancia al gimnasio,Baja frecuencia de visitas,El cliente muestra indicios de desenganche: baja frecuencia de visitas. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
219,72,20.8,420.2,2026-07-12,Competidor cercano recién abierto; Sin interacción con la app; Alta distancia al gimnasio; Impagos recurrentes,Precio elevado respecto al uso,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: precio elevado respecto al uso.,Email de fidelización estándar,bajo
220,43,59.2,999.32,2026-07-12,Alta distancia al gimnasio; Precio elevado respecto al uso; Impagos recurrentes; Baja satisfacción (NPS < 5),Cancelaciones de clases frecuentes,El cliente muestra indicios de desenganche: cancelaciones de clases frecuentes. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
221,78,16.7,349.56,2026-07-12,Impagos recurrentes; Sin interacción con la app; Competidor cercano recién abierto,Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Enviar encuesta de satisfacción,bajo
222,44,51.4,945.84,2026-07-12,Cambio reciente de entrenador; Baja satisfacción (NPS < 5); Sin renovación automática; Sin interacción con la app,Alta distancia al gimnasio,El cliente muestra indicios de desenganche: alta distancia al gimnasio. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
223,30,67.1,1293.9,2026-07-12,Cambio reciente de entrenador; Impagos recurrentes,Baja satisfacción (NPS < 5),El cliente presenta señales críticas: baja satisfacción (nps < 5). Tendencia de actividad decreciente. Intervención inmediata recomendada.,Aplicar descuento personalizado del 20%,alto
224,69,25.7,2175.27,2026-07-12,Cambio reciente de entrenador; Alta distancia al gimnasio,Sin interacción con la app,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin interacción con la app.,Email de fidelización estándar,bajo
225,67,30.0,1390.62,2026-07-12,Cancelaciones de clases frecuentes; Baja satisfacción (NPS < 5),Sin renovación automática,El cliente muestra indicios de desenganche: sin renovación automática. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
226,57,39.4,565.35,2026-07-12,Precio elevado respecto al uso; Competidor cercano recién abierto; Cambio reciente de entrenador; Baja satisfacción (NPS < 5),Baja frecuencia de visitas,El cliente muestra indicios de desenganche: baja frecuencia de visitas. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
227,62,35.7,854.72,2026-07-12,Cancelaciones de clases frecuentes; Precio elevado respecto al uso; Cambio reciente de entrenador,Sin interacción con la app,El cliente muestra indicios de desenganche: sin interacción con la app. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
228,89,8.9,1307.6,2026-07-12,Impagos recurrentes; Cambio reciente de entrenador,Alta distancia al gimnasio,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: alta distancia al gimnasio.,Push notification con novedades del centro,bajo
229,84,25.2,577.06,2026-07-12,Impagos recurrentes; Precio elevado respecto al uso,Cambio reciente de entrenador,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cambio reciente de entrenador.,Push notification con novedades del centro,bajo
230,47,51.4,227.13,2026-07-12,Precio elevado respecto al uso; Baja satisfacción (NPS < 5); Impagos recurrentes,Cambio reciente de entrenador,El cliente muestra indicios de desenganche: cambio reciente de entrenador. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
231,61,26.8,3390.12,2026-07-12,Baja satisfacción (NPS < 5); Sin interacción con la app; Baja frecuencia de visitas,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Email de fidelización estándar,bajo
232,31,58.8,423.84,2026-07-12,Baja satisfacción (NPS < 5); Alta distancia al gimnasio; Impagos recurrentes,Baja frecuencia de visitas,El cliente muestra indicios de desenganche: baja frecuencia de visitas. Una acción proactiva puede revertir la situación.,Invitar a evento exclusivo del centro,medio
233,53,51.3,31.72,2026-07-12,Competidor cercano recién abierto; Precio elevado respecto al uso; Cancelaciones de clases frecuentes,Sin interacción con la app,El cliente muestra indicios de desenganche: sin interacción con la app. Una acción proactiva puede revertir la situación.,Ofrecer sesión de entrenamiento personal gratuita,medio
234,65,25.0,161.1,2026-07-12,Precio elevado respecto al uso; Sin renovación automática,Sin interacción con la app,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin interacción con la app.,Push notification con novedades del centro,bajo
235,71,22.5,1741.27,2026-07-12,Baja satisfacción (NPS < 5); Sin interacción con la app; Competidor cercano recién abierto,Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Email de fidelización estándar,bajo
236,77,14.5,239.33,2026-07-12,Cancelaciones de clases frecuentes; Sin interacción con la app; Baja frecuencia de visitas,Sin renovación automática,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin renovación automática.,Push notification con novedades del centro,bajo
237,90,14.8,1274.0,2026-07-12,Baja satisfacción (NPS < 5); Cancelaciones de clases frecuentes; Competidor cercano recién abierto; Impagos recurrentes,Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Enviar encuesta de satisfacción,bajo
238,63,25.0,44.1,2026-07-12,Impagos recurrentes; Sin renovación automática; Alta distancia al gimnasio; Baja satisfacción (NPS < 5),Baja frecuencia de visitas,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: baja frecuencia de visitas.,Enviar encuesta de satisfacción,bajo
239,67,22.1,2231.36,2026-07-12,Baja satisfacción (NPS < 5); Alta distancia al gimnasio; Competidor cercano recién abierto; Sin interacción con la app,Impagos recurrentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: impagos recurrentes.,Enviar encuesta de satisfacción,bajo
240,66,28.6,621.6,2026-07-12,Precio elevado respecto al uso; Competidor cercano recién abierto,Impagos recurrentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: impagos recurrentes.,Push notification con novedades del centro,bajo
241,50,50.3,54.32,2026-07-12,Sin interacción con la app; Baja frecuencia de visitas,Precio elevado respecto al uso,El cliente muestra indicios de desenganche: precio elevado respecto al uso. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
242,60,33.5,327.84,2026-07-12,Precio elevado respecto al uso; Impagos recurrentes; Competidor cercano recién abierto; Cancelaciones de clases frecuentes,Sin renovación automática,El cliente muestra indicios de desenganche: sin renovación automática. Una acción proactiva puede revertir la situación.,Enviar email personalizado de reactivación,medio
243,52,47.5,868.28,2026-07-12,Baja satisfacción (NPS < 5); Competidor cercano recién abierto; Alta distancia al gimnasio,Cambio reciente de entrenador,El cliente muestra indicios de desenganche: cambio reciente de entrenador. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
244,62,28.6,2598.4,2026-07-12,Precio elevado respecto al uso; Cancelaciones de clases frecuentes,Sin renovación automática,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin renovación automática.,Enviar encuesta de satisfacción,bajo
245,72,32.5,2305.0,2026-07-12,Baja frecuencia de visitas; Sin interacción con la app; Sin renovación automática; Precio elevado respecto al uso,Sin renovación automática,El cliente muestra indicios de desenganche: sin renovación automática. Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
246,69,27.4,2842.08,2026-07-12,Cambio reciente de entrenador; Baja satisfacción (NPS < 5); Precio elevado respecto al uso,Sin interacción con la app,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: sin interacción con la app.,Enviar encuesta de satisfacción,bajo
247,85,27.7,71.58,2026-07-12,Sin renovación automática; Cancelaciones de clases frecuentes,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Enviar encuesta de satisfacción,bajo
248,35,72.1,494.08,2026-07-12,Sin interacción con la app; Cambio reciente de entrenador; Impagos recurrentes; Baja satisfacción (NPS < 5),Impagos recurrentes,El cliente presenta señales críticas: impagos recurrentes. Tendencia de actividad decreciente. Intervención inmediata recomendada.,Ofrecer congelación temporal de cuota,alto
249,82,22.0,4012.2,2026-07-12,Baja satisfacción (NPS < 5); Sin renovación automática,Cancelaciones de clases frecuentes,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: cancelaciones de clases frecuentes.,Email de fidelización estándar,bajo
250,63,39.6,49.9,2026-07-12,Alta distancia al gimnasio; Precio elevado respecto al uso; Competidor cercano recién abierto; Cambio reciente de entrenador,Baja satisfacción (NPS < 5),El cliente muestra indicios de desenganche: baja satisfacción (nps < 5). Una acción proactiva puede revertir la situación.,Aplicar descuento del 10%,medio
251,77,18.7,50.1,2026-07-12,Sin renovación automática; Cancelaciones de clases frecuentes,Alta distancia al gimnasio,El cliente está en buen estado. Mantener acciones de fidelización. Vigilar: alta distancia al gimnasio.,Email de fidelización estándar,bajo
